ID,Rating,Review,
373,3,some pros and cons. excellent quality.,
374,1,poor quality. awful.,
375,5,fantastic. amazing features.,
376,5,easy to use. best purchase ever. it's okay.,
377,3,some pros and cons. love this product.,
378,2,missing features. difficult to use.,
379,1,bad experience. poor quality.,
380,3,it's okay. very disappointed.,
381,2,poor quality. very disappointed.,
382,2,does not work. bad experience.,
383,4,works perfectly. works perfectly.,
384,5,highly recommend. highly recommend.,
385,5,amazing features. fantastic.,
386,2,missing features. awful.,
387,4,very satisfied. easy to use.,
388,1,does not work. waste of money.,
389,4,five stars. amazing features.,
390,5,fantastic. excellent quality. nothing special.,
391,4,wonderful experience. works perfectly.,
392,3,neither good nor bad. great value.,
393,4,very satisfied. works perfectly.,
394,4,love this product. wonderful experience.,
395,5,five stars. very satisfied.,
396,3,works as expected. missing features.,
397,4,great value. works perfectly. some pros and cons.,
398,4,five stars. five stars.,
399,2,awful. poor quality.,
400,4,five stars. fantastic. it's okay.,
401,5,amazing features. works perfectly.,
402,2,very disappointed. terrible product.,
403,3,nothing special. poor quality.,
404,2,one star. difficult to use. nothing special.,
405,4,works perfectly. highly recommend.,
406,5,great value. highly recommend.,
407,4,works perfectly. five stars.,
408,2,broke easily. broke easily.,
409,3,nothing special. works perfectly.,
410,3,could be better. worst purchase.,
411,1,does not work. missing features.,
412,5,fantastic. very satisfied. nothing special.,
413,1,awful. would not recommend.,
414,3,some pros and cons. highly recommend.,
415,4,easy to use. wonderful experience.,
416,4,excellent quality. great value.,
417,5,love this product. great value. some pros and cons.,
418,4,fantastic. love this product. neither good nor bad.,
419,4,amazing features. works perfectly.,
420,5,highly recommend. amazing features.,
421,4,five stars. wonderful experience.,
422,4,exceeded expectations. easy to use.,
423,1,one star. very disappointed. could be better.,
424,3,it's okay. customer service was bad.,
425,3,met expectations. terrible product.,
426,3,neither good nor bad. terrible product.,
427,2,missing features. missing features.,
428,1,difficult to use. difficult to use.,
429,5,wonderful experience. love this product.,
430,3,decent for the price. wonderful experience.,
431,1,one star. worst purchase.,
432,1,customer service was bad. bad experience.,
433,1,poor quality. would not recommend.,
434,4,fantastic. highly recommend.,
435,4,easy to use. excellent quality.,
436,1,customer service was bad. poor quality. some pros and cons.,
437,1,very disappointed. broke easily.,
438,5,fantastic. excellent quality. works as expected.,
439,3,decent for the price. missing features.,
440,1,broke easily. poor quality.,
441,5,five stars. five stars.,
442,3,some pros and cons. fantastic.,
443,3,nothing special. fantastic.,
444,2,would not recommend. waste of money.,
445,1,worst purchase. one star.,
446,3,it's okay. great value.,
447,2,very disappointed. terrible product. it's okay.,
448,5,fantastic. exceeded expectations.,
449,5,very satisfied. exceeded expectations.,
450,2,broke easily. bad experience.,
451,2,one star. waste of money.,
452,4,wonderful experience. wonderful experience.,
453,4,highly recommend. great value. it's okay.,
454,5,easy to use. works perfectly.,
455,2,waste of money. customer service was bad.,
456,5,highly recommend. works perfectly. could be better.,
457,5,excellent quality. exceeded expectations. it's okay.,
458,3,met expectations. worst purchase.,
459,3,decent for the price. highly recommend.,
460,3,met expectations. one star.,
461,5,love this product. fantastic. met expectations.,
462,1,one star. one star.,
463,2,customer service was bad. awful.,
464,3,average product. waste of money.,
465,3,nothing special. does not work.,
466,1,terrible product. terrible product.,
467,3,neither good nor bad. very satisfied.,
468,5,best purchase ever. best purchase ever.,
469,5,fantastic. works perfectly. some pros and cons.,
470,3,could be better. easy to use.,
471,3,decent for the price. waste of money.,
472,5,amazing features. love this product.,
473,2,would not recommend. customer service was bad. works as expected.,
474,3,average product. works perfectly.,
475,3,neither good nor bad. one star.,
476,4,wonderful experience. fantastic. average product.,
477,3,decent for the price. terrible product.,
478,1,does not work. waste of money.,
479,1,customer service was bad. worst purchase.,
480,4,excellent quality. five stars. decent for the price.,
481,4,fantastic. excellent quality.,
482,2,broke easily. missing features.,
483,1,poor quality. very disappointed.,
484,2,one star. missing features. some pros and cons.,
485,1,broke easily. poor quality.,
486,4,works perfectly. love this product.,
487,4,best purchase ever. easy to use.,
488,1,awful. difficult to use. neither good nor bad.,
489,5,love this product. fantastic.,
490,1,missing features. waste of money.,
491,3,met expectations. one star.,
492,1,poor quality. customer service was bad.,
493,1,poor quality. waste of money.,
494,2,broke easily. very disappointed.,
495,1,bad experience. poor quality.,
496,4,very satisfied. five stars. could be better.,
497,1,broke easily. does not work.,
498,1,waste of money. worst purchase. decent for the price.,
499,2,worst purchase. does not work.,
500,1,bad experience. broke easily.,
501,2,terrible product. would not recommend.,
502,1,waste of money. worst purchase.,
503,1,difficult to use. waste of money.,
504,2,one star. broke easily.,
505,5,exceeded expectations. fantastic.,
506,1,would not recommend. awful. some pros and cons.,
507,5,wonderful experience. five stars.,
508,2,missing features. difficult to use.,
509,4,five stars. very satisfied.,
510,3,some pros and cons. worst purchase.,
511,3,decent for the price. would not recommend.,
512,4,highly recommend. very satisfied. some pros and cons.,
513,1,would not recommend. would not recommend. could be better.,
514,1,bad experience. worst purchase.,
515,5,wonderful experience. works perfectly. could be better.,
516,4,exceeded expectations. wonderful experience.,
517,4,highly recommend. works perfectly.,
518,3,decent for the price. works perfectly.,
519,2,one star. does not work.,
520,5,exceeded expectations. great value.,
521,2,would not recommend. customer service was bad.,
522,1,poor quality. very disappointed.,
523,4,highly recommend. great value.,
524,4,best purchase ever. five stars. neither good nor bad.,
525,3,works as expected. bad experience.,
526,2,awful. difficult to use.,
527,3,neither good nor bad. highly recommend.,
528,4,works perfectly. love this product.,
529,2,would not recommend. bad experience.,
530,3,it's okay. wonderful experience.,
531,4,exceeded expectations. exceeded expectations.,
532,5,very satisfied. excellent quality.,
533,1,broke easily. awful.,
534,3,neither good nor bad. difficult to use.,
535,2,would not recommend. difficult to use.,
536,2,does not work. difficult to use. some pros and cons.,
537,3,it's okay. fantastic.,
538,3,could be better. does not work.,
539,2,waste of money. awful. decent for the price.,
540,5,amazing features. five stars.,
541,5,easy to use. easy to use.,
542,5,works perfectly. very satisfied.,
543,4,highly recommend. amazing features.,
544,2,waste of money. missing features. works as expected.,
545,1,awful. very disappointed.,
546,5,easy to use. best purchase ever.,
547,3,met expectations. highly recommend.,
548,4,love this product. love this product.,
549,3,could be better. easy to use.,
550,3,neither good nor bad. missing features.,
551,1,missing features. bad experience. nothing special.,
552,4,love this product. five stars.,
553,5,highly recommend. highly recommend.,
554,3,it's okay. bad experience.,
555,4,works perfectly. great value.,
556,3,works as expected. exceeded expectations.,
557,3,nothing special. poor quality.,
558,3,could be better. poor quality.,
559,3,could be better. love this product.,
560,4,five stars. love this product.,
561,5,very satisfied. fantastic.,
562,2,waste of money. broke easily. neither good nor bad.,
563,4,very satisfied. easy to use.,
564,3,could be better. best purchase ever.,
565,1,customer service was bad. bad experience.,
566,2,customer service was bad. missing features.,
567,2,one star. difficult to use. average product.,
568,1,one star. awful.,
569,2,broke easily. bad experience.,
570,4,five stars. works perfectly.,
571,2,broke easily. worst purchase.,
572,1,one star. poor quality.,
573,1,waste of money. broke easily.,
574,5,amazing features. wonderful experience.,
575,1,terrible product. missing features.,
576,1,bad experience. customer service was bad. met expectations.,
577,1,poor quality. does not work.,
578,5,highly recommend. wonderful experience.,
579,3,it's okay. missing features.,
580,2,awful. difficult to use. neither good nor bad.,
581,4,excellent quality. fantastic.,
582,2,terrible product. broke easily.,
583,2,does not work. would not recommend.,
584,5,fantastic. works perfectly.,
585,1,missing features. difficult to use. it's okay.,
586,5,exceeded expectations. great value.,
587,2,would not recommend. poor quality.,
588,5,very satisfied. exceeded expectations.,
589,5,easy to use. wonderful experience.,
590,4,easy to use. works perfectly.,
591,2,very disappointed. waste of money. decent for the price.,
592,1,poor quality. difficult to use.,
593,4,love this product. highly recommend.,
594,3,decent for the price. worst purchase.,
595,4,easy to use. great value.,
596,2,terrible product. waste of money.,
597,3,met expectations. waste of money.,
598,2,does not work. customer service was bad.,
599,1,bad experience. customer service was bad.,
600,5,great value. very satisfied.,
601,1,customer service was bad. worst purchase.,
602,4,amazing features. best purchase ever.,
603,3,some pros and cons. love this product.,
604,3,it's okay. excellent quality.,
605,3,it's okay. wonderful experience.,
606,5,wonderful experience. great value.,
607,3,decent for the price. customer service was bad.,
608,1,bad experience. does not work.,
609,5,amazing features. very satisfied.,
610,1,missing features. does not work. met expectations.,
611,1,poor quality. missing features.,
612,3,some pros and cons. does not work.,
613,2,one star. would not recommend.,
614,5,wonderful experience. very satisfied.,
615,5,works perfectly. works perfectly.,
616,3,average product. terrible product.,
617,1,poor quality. bad experience. some pros and cons.,
618,4,wonderful experience. easy to use.,
619,4,works perfectly. five stars.,
620,4,love this product. easy to use.,
621,5,great value. great value.,
622,2,bad experience. broke easily. could be better.,
623,3,average product. five stars.,
624,2,terrible product. worst purchase.,
625,4,love this product. very satisfied.,
626,3,it's okay. one star.,
627,5,easy to use. great value.,
628,4,love this product. five stars. decent for the price.,
629,5,great value. five stars. average product.,
630,1,awful. bad experience.,
631,2,bad experience. very disappointed. nothing special.,
632,4,wonderful experience. best purchase ever. works as expected.,
633,5,exceeded expectations. great value.,
634,3,works as expected. fantastic.,
635,2,difficult to use. broke easily. works as expected.,
636,5,amazing features. highly recommend.,
637,3,some pros and cons. works perfectly.,
638,3,decent for the price. waste of money.,
639,3,nothing special. worst purchase.,
640,4,exceeded expectations. wonderful experience.,
641,2,difficult to use. missing features.,
642,1,very disappointed. does not work.,
643,4,five stars. very satisfied.,
644,1,poor quality. would not recommend.,
645,1,one star. awful.,
646,3,average product. very disappointed.,
647,2,broke easily. awful. met expectations.,
648,4,highly recommend. highly recommend. neither good nor bad.,
649,5,great value. easy to use. some pros and cons.,
650,3,it's okay. difficult to use.,
651,1,would not recommend. one star. neither good nor bad.,
652,4,best purchase ever. wonderful experience. average product.,
653,2,poor quality. very disappointed.,
654,4,amazing features. fantastic. could be better.,
655,3,neither good nor bad. highly recommend.,
656,5,great value. best purchase ever.,
657,2,broke easily. one star.,
658,5,fantastic. works perfectly. neither good nor bad.,
659,1,missing features. difficult to use. could be better.,
660,2,poor quality. does not work.,
661,1,difficult to use. bad experience.,
662,1,bad experience. missing features.,
663,4,amazing features. works perfectly.,
664,4,fantastic. wonderful experience.,
665,1,missing features. one star.,
666,4,amazing features. wonderful experience.,
667,4,five stars. works perfectly. average product.,
668,5,works perfectly. best purchase ever.,
669,3,decent for the price. amazing features.,
670,1,very disappointed. would not recommend. average product.,
671,1,very disappointed. would not recommend.,
672,5,fantastic. excellent quality.,
673,3,it's okay. bad experience.,
674,2,difficult to use. bad experience.,
675,5,great value. great value. it's okay.,
676,3,nothing special. waste of money.,
677,4,amazing features. very satisfied.,
678,4,amazing features. five stars.,
679,1,broke easily. customer service was bad.,
680,3,neither good nor bad. love this product.,
681,1,waste of money. awful.,
682,2,very disappointed. awful.,
683,3,works as expected. fantastic.,
684,3,works as expected. five stars.,
685,2,worst purchase. terrible product. nothing special.,
686,2,one star. customer service was bad.,
687,4,fantastic. love this product.,
688,2,broke easily. missing features. could be better.,
689,4,excellent quality. works perfectly. met expectations.,
690,2,worst purchase. does not work.,
691,5,love this product. works perfectly. decent for the price.,
692,4,easy to use. excellent quality.,
693,4,works perfectly. best purchase ever.,
694,4,wonderful experience. love this product. nothing special.,
695,1,terrible product. broke easily.,
696,4,five stars. works perfectly.,
697,3,nothing special. easy to use.,
698,3,decent for the price. fantastic.,
699,3,some pros and cons. poor quality.,
700,1,broke easily. one star. neither good nor bad.,
701,2,bad experience. very disappointed.,
702,1,poor quality. difficult to use. some pros and cons.,
703,4,fantastic. great value.,
704,1,very disappointed. worst purchase.,
705,1,customer service was bad. terrible product.,
706,2,terrible product. customer service was bad.,
707,3,it's okay. fantastic.,
708,3,met expectations. easy to use.,
709,1,worst purchase. would not recommend. average product.,
710,2,customer service was bad. customer service was bad. neither good nor bad.,
711,3,works as expected. highly recommend.,
712,3,could be better. wonderful experience.,
713,1,does not work. would not recommend.,
714,2,one star. customer service was bad. average product.,
715,3,neither good nor bad. fantastic.,
716,4,very satisfied. excellent quality. decent for the price.,
717,5,wonderful experience. easy to use.,
718,2,difficult to use. very disappointed. average product.,
719,2,very disappointed. awful. works as expected.,
720,2,would not recommend. would not recommend. works as expected.,
721,5,highly recommend. very satisfied.,
722,3,neither good nor bad. excellent quality.,
723,1,does not work. bad experience. nothing special.,
724,1,awful. missing features.,
725,2,difficult to use. missing features. works as expected.,
726,4,exceeded expectations. exceeded expectations.,
727,5,excellent quality. five stars. average product.,
728,3,works as expected. great value.,
729,3,some pros and cons. worst purchase.,
730,4,best purchase ever. exceeded expectations.,
731,4,love this product. wonderful experience.,
732,4,highly recommend. five stars. decent for the price.,
733,2,bad experience. waste of money.,
734,4,best purchase ever. great value.,
735,3,some pros and cons. highly recommend.,
736,2,bad experience. does not work.,
737,5,highly recommend. very satisfied.,
738,4,very satisfied. highly recommend.,
739,1,would not recommend. poor quality.,
740,4,best purchase ever. highly recommend. average product.,
741,5,easy to use. highly recommend.,
742,3,works as expected. poor quality.,
743,3,average product. love this product.,
744,5,exceeded expectations. easy to use. neither good nor bad.,
745,2,terrible product. terrible product.,
746,1,difficult to use. poor quality.,
747,4,exceeded expectations. fantastic. works as expected.,
748,4,excellent quality. love this product.,
749,4,wonderful experience. best purchase ever.,
750,1,waste of money. very disappointed. met expectations.,
751,1,poor quality. worst purchase.,
752,4,best purchase ever. amazing features. nothing special.,
753,4,five stars. highly recommend. average product.,
754,1,one star. waste of money.,
755,5,great value. excellent quality. average product.,
756,2,would not recommend. bad experience. nothing special.,
757,1,would not recommend. poor quality.,
758,5,great value. highly recommend.,
759,3,neither good nor bad. difficult to use.,
760,4,five stars. excellent quality.,
761,3,it's okay. works perfectly.,
762,1,very disappointed. customer service was bad.,
763,5,great value. amazing features.,
764,1,broke easily. missing features.,
765,1,broke easily. difficult to use.,
766,3,works as expected. does not work.,
767,1,terrible product. terrible product.,
768,4,works perfectly. five stars. nothing special.,
769,5,highly recommend. works perfectly.,
770,3,some pros and cons. highly recommend.,
771,5,works perfectly. fantastic. works as expected.,
772,2,would not recommend. awful. neither good nor bad.,
773,3,met expectations. does not work.,
774,4,love this product. works perfectly.,
775,3,neither good nor bad. bad experience.,
776,4,very satisfied. five stars.,
777,5,amazing features. wonderful experience.,
778,1,terrible product. difficult to use.,
779,3,neither good nor bad. exceeded expectations.,
780,1,bad experience. does not work. works as expected.,
781,4,highly recommend. wonderful experience.,
782,1,very disappointed. would not recommend.,
783,1,terrible product. poor quality. some pros and cons.,
784,5,love this product. five stars.,
785,2,broke easily. very disappointed. it's okay.,
786,2,awful. bad experience. nothing special.,
787,2,customer service was bad. missing features.,
